# Suggestions (221)

| ID | Title | Kind | Priority | Status | Source Task | Date Added |
| S-0004-01 | Generate weaker-DSI variant target tuning curves | dataset | medium | active | `t0004_generate_target_tuning_curve` | 2026-04-19 |
| S-0004-02 | Add a Poisson-noise variant of the target trials | dataset | low | active | `t0004_generate_target_tuning_curve` | 2026-04-19 |
| S-0005-03 | Download additional Feller-archive DSGC reconstructions to enable cross-cell variability sensitivity analysis | dataset | medium | active | `t0005_download_dsgc_morphology` | 2026-04-19 |
| S-0005-04 | Build a reusable SWC -> NEURON/NetPyNE/Arbor section-translator library for dsgc-baseline-morphology | library | medium | active | `t0005_download_dsgc_morphology` | 2026-04-19 |
| S-0005-05 | Render and QA-check 2D/3D visualisations of dsgc-baseline-morphology for documentation and synapse placement | evaluation | medium | active | `t0005_download_dsgc_morphology` | 2026-04-19 |
| S-0007-01 | Validate custom khhchan.mod biophysics with a dedicated sanity simulation | experiment | medium | active | `t0007_install_neuron_netpyne` | 2026-04-19 |
| S-0007-02 | Script the full NEURON + NetPyNE install for clean-machine reproduction | library | medium | active | `t0007_install_neuron_netpyne` | 2026-04-19 |
| S-0007-03 | Benchmark NetPyNE harness overhead vs raw NEURON across problem sizes | evaluation | medium | active | `t0007_install_neuron_netpyne` | 2026-04-19 |
| S-0008-01 | Port Hanson 2019 Spatial-Offset-DSGC as a second DSGC library | library | medium | active | `t0008_port_modeldb_189347` | 2026-04-20 |
| S-0008-03 | Rebuild ModelDB 189347 port on the calibrated Horton-Strahler SWC from t0009 | experiment | medium | active | `t0008_port_modeldb_189347` | 2026-04-20 |
| S-0008-04 | Parameter-sweep calibration of bundled 189347 toward the envelope targets | experiment | medium | active | `t0008_port_modeldb_189347` | 2026-04-20 |
| S-0008-05 | Port Jain 2020 DSGC (ModelDB 267001) as a sibling DSGC asset | library | low | active | `t0008_port_modeldb_189347` | 2026-04-20 |
| S-0009-01 | Inverse-fit three-bin dendritic radii against the Schachter 2010 proximal/distal input-resistance gradient | technique | medium | active | `t0009_calibrate_dendritic_diameters` | 2026-04-20 |
| S-0009-02 | Interpolate soma pt3dadd diameters along the principal axis to replace the uniform 4.118 um soma radius | technique | medium | active | `t0009_calibrate_dendritic_diameters` | 2026-04-20 |
| S-0009-03 | Calibrate active Nav / Kv / Ih densities to match Poleg-Polsky 2016 spike shape and distal Ih sag | technique | medium | active | `t0009_calibrate_dendritic_diameters` | 2026-04-20 |
| S-0009-04 | Re-calibrate using a Poleg-Polsky xyz-registered 1:1 per-section diameter lookup to drop Strahler binning entirely | technique | medium | active | `t0009_calibrate_dendritic_diameters` | 2026-04-20 |
| S-0009-05 | Sensitivity analysis: re-run DSGC simulations under alternative Strahler tie-break rules and bin boundaries | evaluation | medium | active | `t0009_calibrate_dendritic_diameters` | 2026-04-20 |
| S-0009-06 | Re-type SWC by section role (soma / primary / mid / terminal) as a sibling dataset asset | dataset | medium | active | `t0009_calibrate_dendritic_diameters` | 2026-04-20 |
| S-0009-07 | Per-cell ex-vivo two-photon image segmentation of 141009_Pair1DSGC to produce a cell-specific diameter ground truth | dataset | low | active | `t0009_calibrate_dendritic_diameters` | 2026-04-20 |
| S-0009-08 | Port the TREES-toolbox Rall 3/2 quaddiameter rule to a pure-Python calibrator and compare against the Strahler bins | library | medium | active | `t0009_calibrate_dendritic_diameters` | 2026-04-20 |
| S-0010-01 | Hand-port Hanson2019 Spatial-Offset-DSGC model to headless 12-angle sweep | experiment | medium | active | `t0010_hunt_missed_dsgc_models` | 2026-04-20 |
| S-0010-02 | Hand-port deRosenroll2026 ds-circuit-ei model and remap 8-angle grid to 12 angles | experiment | medium | active | `t0010_hunt_missed_dsgc_models` | 2026-04-20 |
| S-0010-03 | Write forward-only driver for PolegPolsky2026 DS-mechanisms model and pursue LICENSE | experiment | medium | active | `t0010_hunt_missed_dsgc_models` | 2026-04-20 |
| S-0010-04 | Extend DSGC model corpus to Arbor and NetPyNE reimplementations | experiment | medium | active | `t0010_hunt_missed_dsgc_models` | 2026-04-20 |
| S-0010-05 | Build a headless-port scaffold library that wraps upstream NEURON models | library | medium | active | `t0010_hunt_missed_dsgc_models` | 2026-04-20 |
| S-0010-06 | Add Elsevier-login fallback to the paper-download workflow | technique | low | active | `t0010_hunt_missed_dsgc_models` | 2026-04-20 |
| S-0011-02 | Add strict angle-grid validation mode to tuning_curve_viz.loaders.validate_angle_grid | library | medium | active | `t0011_response_visualization_library` | 2026-04-20 |
| S-0011-03 | Add combined-report function that renders all four plot types into one multi-page PDF/HTML per model | library | medium | active | `t0011_response_visualization_library` | 2026-04-20 |
| S-0011-04 | Add statistical-comparison overlays (paired bootstrap, DSI/HWHM annotations) to multi-model plots | library | medium | active | `t0011_response_visualization_library` | 2026-04-20 |
| S-0011-05 | Port additional DSGC models from t0010 hunt and exercise plot_multi_model_overlay with >2 models | experiment | medium | active | `t0011_response_visualization_library` | 2026-04-20 |
| S-0011-06 | Add PNG regression testing for tuning_curve_viz via pixel-level image diff in CI | evaluation | low | active | `t0011_response_visualization_library` | 2026-04-20 |
| S-0012-02 | Parametric curve fitting (von Mises / wrapped Gaussian) for sub-degree HWHM estimates on sparse 12-angle grids | technique | medium | active | `t0012_tuning_curve_scoring_loss_library` | 2026-04-20 |
| S-0012-04 | Alternative loss formulations (L1, max-residual, weighted-L-infinity) benchmarked against the Euclidean default | technique | medium | active | `t0012_tuning_curve_scoring_loss_library` | 2026-04-20 |
| S-0012-05 | Revisit envelope widening (DSI upper 0.85 to 0.9, peak lower 40 to 30 Hz) once real simulation results are in | evaluation | medium | active | `t0012_tuning_curve_scoring_loss_library` | 2026-04-20 |
| S-0012-06 | Cross-validate compute_reliability against independent split-half implementations (odd-even, bootstrap, Spearman-Brown) | evaluation | low | active | `t0012_tuning_curve_scoring_loss_library` | 2026-04-20 |
| S-0013-01 | Write a shared arf.scripts.utils.resolve_doi helper that returns title, authors, venue, year, PMID, and PMCID | library | medium | active | `t0013_resolve_morphology_provenance` | 2026-04-20 |
| S-0013-02 | Add a plan-stage DOI-nomination verificator that checks each candidate DOI matches its human-written label | library | medium | active | `t0013_resolve_morphology_provenance` | 2026-04-20 |
| S-0013-03 | Download the Morrie & Feller 2018 SAC reconstructions from NeuroMorpho and build a paired SAC+DSGC morphology asset | dataset | medium | active | `t0013_resolve_morphology_provenance` | 2026-04-20 |
| S-0013-04 | Re-audit all existing dataset and library assets' source_paper_id fields against resolved DOI metadata | evaluation | medium | active | `t0013_resolve_morphology_provenance` | 2026-04-20 |
| S-0013-05 | Email the Feller lab to map the 141009_Pair1DSGC session to a specific pair in Morrie & Feller 2018 CB | evaluation | low | active | `t0013_resolve_morphology_provenance` | 2026-04-20 |
| S-0015-01 | Retrieve paywalled cable-theory PDFs via Sheffield access and verify numerical claims | experiment | medium | active | `t0015_literature_survey_cable_theory` | 2026-04-20 |
| S-0015-02 | Extend cable-theory survey to frequency-domain and thin-dendrite transmission | experiment | medium | active | `t0015_literature_survey_cable_theory` | 2026-04-20 |
| S-0015-03 | Register retinal-ganglion-cells and compartmental-modelling categories | evaluation | medium | active | `t0015_literature_survey_cable_theory` | 2026-04-20 |
| S-0016-01 | Retrieve paywalled dendritic-computation PDFs via Sheffield access and verify numerical claims | experiment | medium | active | `t0016_literature_survey_dendritic_computation` | 2026-04-20 |
| S-0016-02 | Extend dendritic-computation survey to cerebellar Purkinje and STDP papers | experiment | medium | active | `t0016_literature_survey_dendritic_computation` | 2026-04-20 |
| S-0016-04 | Test whether a Larkum-style Ca2+ plateau zone can be localised in DSGC dendritic trees | experiment | medium | active | `t0016_literature_survey_dendritic_computation` | 2026-04-20 |
| S-0017-01 | Retrieve paywalled patch-clamp PDFs via Sheffield access and verify numerical claims | experiment | medium | active | `t0017_literature_survey_patch_clamp` | 2026-04-20 |
| S-0017-02 | Extend patch-clamp survey to DSGC-specific dynamic-clamp, Ih/HCN biophysics, and AIS measurements | experiment | medium | active | `t0017_literature_survey_patch_clamp` | 2026-04-20 |
| S-0017-04 | Register patch-clamp and compartmental-modeling categories if not already present | evaluation | low | active | `t0017_literature_survey_patch_clamp` | 2026-04-20 |
| S-0018-01 | Retrieve paywalled synaptic-integration PDFs via Sheffield access and verify numerical priors | experiment | medium | active | `t0018_literature_survey_synaptic_integration` | 2026-04-20 |
| S-0018-02 | Extend synaptic-integration survey with DSGC-specific receptor-kinetic, dynamic-clamp, and connectomic SAC-DSGC papers | experiment | medium | active | `t0018_literature_survey_synaptic_integration` | 2026-04-20 |
| S-0018-04 | Register synaptic-integration category slugs if not already present | evaluation | low | active | `t0018_literature_survey_synaptic_integration` | 2026-04-20 |
| S-0019-01 | Retrieve paywalled voltage-gated-channel PDFs via Sheffield access and verify numerical priors | experiment | medium | active | `t0019_literature_survey_voltage_gated_channels` | 2026-04-20 |
| S-0019-02 | Extend voltage-gated-channel survey with recent DSGC-specific Nav/Kv patch-clamp and super-resolution AIS microdomain papers | experiment | medium | active | `t0019_literature_survey_voltage_gated_channels` | 2026-04-20 |
| S-0019-04 | Register voltage-gated-channel category slugs if not already present | evaluation | low | active | `t0019_literature_survey_voltage_gated_channels` | 2026-04-20 |
| S-0020-01 | Excitation-side sensitivity sweep under gabaMOD-swap to close the 25 Hz peak-firing-rate gap | experiment | medium | active | `t0020_port_modeldb_189347_gabamod` | 2026-04-20 |
| S-0020-02 | Reproduce Poleg-Polsky 2016 Fig 1D/H subthreshold validation targets (PSP amplitude, NMDAR slope angle) | evaluation | medium | active | `t0020_port_modeldb_189347_gabamod` | 2026-04-20 |
| S-0020-03 | Intermediate-gabaMOD sensitivity sweep to map the PD-ND transition curve | experiment | medium | active | `t0020_port_modeldb_189347_gabamod` | 2026-04-20 |
| S-0020-04 | Extend tuning_curve_loss with a two-point (PD/ND) scoring API to make t0012 usable under the native protocol | library | medium | active | `t0020_port_modeldb_189347_gabamod` | 2026-04-20 |
| S-0020-05 | Add a per-trial spike-count floor to the two-point envelope gate to catch biologically implausible passes | evaluation | medium | active | `t0020_port_modeldb_189347_gabamod` | 2026-04-20 |
| S-0020-06 | Trial-count power analysis for the PD/ND DSI estimator (bootstrap CI vs N_trials) | evaluation | medium | active | `t0020_port_modeldb_189347_gabamod` | 2026-04-20 |
| S-0020-07 | Extend t0011 response-visualisation library with a condition-based (PD/ND) raster+PSTH plot | library | low | active | `t0020_port_modeldb_189347_gabamod` | 2026-04-20 |
| S-0022-01 | Nav1.1 proximal-AIS knockout channel-swap on the t0022 testbed | experiment | medium | active | `t0022_modify_dsgc_channel_testbed` | 2026-04-21 |
| S-0022-02 | Nav1.6 distal-AIS density sweep to close the 15 Hz -> 30-40 Hz peak-rate gap | experiment | medium | active | `t0022_modify_dsgc_channel_testbed` | 2026-04-21 |
| S-0022-03 | Per-dendrite E-I parameter sweep to map the DSI response surface | experiment | medium | active | `t0022_modify_dsgc_channel_testbed` | 2026-04-21 |
| S-0022-04 | Add a Starburst Amacrine Cell feedforward layer to drive inhibition physiologically | library | medium | active | `t0022_modify_dsgc_channel_testbed` | 2026-04-21 |
| S-0022-05 | Inject Poisson background rate on the t0022 driver to moderate DSI from 1.0 toward the 0.5-0.8 published band | experiment | medium | active | `t0022_modify_dsgc_channel_testbed` | 2026-04-21 |
| S-0022-06 | Kv3 vs Kv1 AIS placement swap to test the Kole-Letzkus 2007 repolarisation prior | experiment | medium | active | `t0022_modify_dsgc_channel_testbed` | 2026-04-21 |
| S-0022-07 | Harmonised cross-comparison of the three ModelDB 189347 sibling ports (t0008, t0020, t0022) | evaluation | medium | active | `t0022_modify_dsgc_channel_testbed` | 2026-04-21 |
| S-0022-08 | Add Ih (HCN) channel to dendrites and measure its effect on E-I integration window | experiment | low | active | `t0022_modify_dsgc_channel_testbed` | 2026-04-21 |
| S-0024-01 | Port the full upstream SacNetwork with bp_locs/probs/deltas to reproduce the deRosenroll correlation-drop effect | technique | medium | active | `t0024_port_de_rosenroll_2026_dsgc` | 2026-04-21 |
| S-0024-02 | Sweep paper-text biophysics (Ra 200, eleak -65, Na 200/70/35) to test peak firing-rate shortfall | experiment | medium | active | `t0024_port_de_rosenroll_2026_dsgc` | 2026-04-21 |
| S-0024-04 | Parameterize t0011/t0012 tuning-curve plotter and scorer to support N_ANGLES != 12 | library | medium | active | `t0024_port_de_rosenroll_2026_dsgc` | 2026-04-21 |
| S-0024-05 | Add a verify_library_asset.py verificator to close the framework-wide gap flagged during t0024 step 9 | library | low | active | `t0024_port_de_rosenroll_2026_dsgc` | 2026-04-21 |
| S-0024-06 | Unblock t0023 Hanson 2019 port so REQ-6 cross-comparison can include 5/5 DSGC models instead of 4/5 | experiment | medium | active | `t0024_port_de_rosenroll_2026_dsgc` | 2026-04-21 |
| S-0026-01 | Register dsi_at_vrest and peak_hz_at_vrest metric keys in meta/metrics/ | technique | medium | active | `t0026_vrest_sweep_tuning_curves_dsgc` | 2026-04-21 |
| S-0026-02 | Sweep AR(2) rho x V_rest for t0024 to separate noise correlation from depolarisation effects | experiment | medium | active | `t0026_vrest_sweep_tuning_curves_dsgc` | 2026-04-21 |
| S-0026-03 | Sweep bar velocity x V_rest on both DSGC ports to test velocity-V_rest interaction | experiment | medium | active | `t0026_vrest_sweep_tuning_curves_dsgc` | 2026-04-21 |
| S-0026-04 | Parallelise the t0024 sweep across CPU cores to cut wall time from 3.21 h to under 1 h | library | medium | active | `t0026_vrest_sweep_tuning_curves_dsgc` | 2026-04-21 |
| S-0026-05 | Port Hanson2019 DSGC model and repeat V_rest sweep to test starburst-independent DS hypothesis | experiment | medium | active | `t0026_vrest_sweep_tuning_curves_dsgc` | 2026-04-21 |
| S-0026-06 | Add NMDA-block and TTX-sensitivity sweeps at each V_rest to isolate biophysical mechanism | experiment | medium | active | `t0026_vrest_sweep_tuning_curves_dsgc` | 2026-04-21 |
| S-0026-07 | Extend sweep upward to V_rest in {-15, -10, -5} mV to capture the post-collapse regime in t0024 | experiment | low | active | `t0026_vrest_sweep_tuning_curves_dsgc` | 2026-04-21 |
| S-0027-02 | Swap bipolar-cell sustained vs transient kinetics on t0024 to discriminate kinetic tiling from cable delay | experiment | medium | active | `t0027_literature_survey_morphology_ds_modeling` | 2026-04-21 |
| S-0027-04 | Random terminal-branch ablation (25%) on t0022 to test branch independence | experiment | medium | active | `t0027_literature_survey_morphology_ds_modeling` | 2026-04-21 |
| S-0027-05 | Single-compartment collapse of t0024 to test whether T4-style geometry-nullity extends to DSGCs | experiment | medium | active | `t0027_literature_survey_morphology_ds_modeling` | 2026-04-21 |
| S-0027-07 | Sweep dendritic spine density on t0022 distal terminals as an unconventional morphology variable | experiment | low | active | `t0027_literature_survey_morphology_ds_modeling` | 2026-04-21 |
| S-0029-01 | Poisson-noise desaturation rerun of the distal-dendrite length sweep on t0022 | experiment | medium | active | `t0029_distal_dendrite_length_sweep_dsgc` | 2026-04-22 |
| S-0029-02 | Distal Nav ablation crossed with distal-dendrite length sweep on t0022 | experiment | medium | active | `t0029_distal_dendrite_length_sweep_dsgc` | 2026-04-22 |
| S-0029-03 | Extended distal-dendrite length sweep (1.0x to 4.0x, 8.0x) to reach Dan2018's critical regime | experiment | medium | active | `t0029_distal_dendrite_length_sweep_dsgc` | 2026-04-22 |
| S-0029-04 | Null-GABA conductance sweep (3, 6, 9, 12 nS) to release the deterministic ceiling on t0022 | experiment | medium | active | `t0029_distal_dendrite_length_sweep_dsgc` | 2026-04-22 |
| S-0029-05 | Dense distal-length sweep at {1.0, 1.05, 1.10, 1.15, 1.20, 1.25, 1.30} to localize the peak-Hz cliff | experiment | medium | active | `t0029_distal_dendrite_length_sweep_dsgc` | 2026-04-22 |
| S-0029-06 | Re-enable NMDA (b2gnmda nonzero) crossed with distal-dendrite length sweep on t0022 | experiment | medium | active | `t0029_distal_dendrite_length_sweep_dsgc` | 2026-04-22 |
| S-0029-07 | Promote peak-Hz and HWHM to co-primary outcomes when DSI is at ceiling (evaluation methodology) | evaluation | low | active | `t0029_distal_dendrite_length_sweep_dsgc` | 2026-04-22 |
| S-0030-02 | Poisson-noise desaturation rerun of the distal-dendrite diameter sweep on t0022 | experiment | medium | active | `t0030_distal_dendrite_diameter_sweep_dsgc` | 2026-04-22 |
| S-0030-03 | Wider distal-diameter sweep (0.25x to 4.0x) after the schedule fix to probe extreme impedance regimes | experiment | medium | active | `t0030_distal_dendrite_diameter_sweep_dsgc` | 2026-04-22 |
| S-0030-04 | Joint distal length x diameter 2-D sweep on t0022 to catch interactions the marginal sweeps miss | experiment | medium | active | `t0030_distal_dendrite_diameter_sweep_dsgc` | 2026-04-22 |
| S-0030-05 | Non-uniform proximal-to-distal diameter taper sweep on t0022 to match Schachter2010 impedance gradient | experiment | medium | active | `t0030_distal_dendrite_diameter_sweep_dsgc` | 2026-04-22 |
| S-0033-02 | Instantiate AIS_PROXIMAL / AIS_DISTAL / THIN_AXON channel sets on t0022 as a t0033 optimiser prerequisite | library | medium | active | `t0033_plan_dsgc_morphology_channel_optimisation` | 2026-04-22 |
| S-0033-03 | Multi-fidelity surrogate-NN prototype to reduce the $41.56 training burn on the recommended optimiser cell | technique | medium | active | `t0033_plan_dsgc_morphology_channel_optimisation` | 2026-04-22 |
| S-0033-04 | Transfer-learning surrogate warm-start from t0022 and t0024 V_rest-sweep evaluations | technique | medium | active | `t0033_plan_dsgc_morphology_channel_optimisation` | 2026-04-22 |
| S-0033-05 | 5-parameter CMA-ES vs Bayesian-optimisation spike on t0022 to validate sample-efficiency assumptions | experiment | medium | active | `t0033_plan_dsgc_morphology_channel_optimisation` | 2026-04-22 |
| S-0033-06 | Build a reusable DSI-objective evaluation-harness library separating scoring from the optimiser loop | library | medium | active | `t0033_plan_dsgc_morphology_channel_optimisation` | 2026-04-22 |
| S-0034-01 | 2-D distal length x diameter sweep on t0024 to disambiguate cable-filtering vs local-spike-failure | experiment | medium | active | `t0034_distal_dendrite_length_sweep_t0024` | 2026-04-23 |
| S-0034-02 | AR(2) rho sweep at t0024 baseline morphology to isolate stochastic-release smoothing from cable biophysics | experiment | medium | active | `t0034_distal_dendrite_length_sweep_t0024` | 2026-04-23 |
| S-0034-03 | Extended distal-length sweep on t0024 (0.25x to 4.0x, 9 points) to characterise the electrotonic-length optimum | experiment | medium | active | `t0034_distal_dendrite_length_sweep_t0024` | 2026-04-23 |
| S-0034-04 | Per-compartment distal-spike detector on t0024 length sweep to verify Schachter2010 local-spike-failure at 1.5x and 2.0x | experiment | medium | active | `t0034_distal_dendrite_length_sweep_t0024` | 2026-04-23 |
| S-0034-05 | Quantitative cable-theory fit of t0034 DSI-vs-length curve against Rall 1/d^(3/2) and Tukker2004 predictions | evaluation | medium | active | `t0034_distal_dendrite_length_sweep_t0024` | 2026-04-23 |
| S-0034-06 | Higher-statistics re-run of t0034 at 1.5x and 2.0x (30+ trials per angle) to confirm the preferred-angle jumps | experiment | medium | active | `t0034_distal_dendrite_length_sweep_t0024` | 2026-04-23 |
| S-0034-07 | Specify primary DSI as t0033 optimiser objective on t0024 substrate (not vector-sum) and drop monotonic-length priors | evaluation | medium | active | `t0034_distal_dendrite_length_sweep_t0024` | 2026-04-23 |
| S-0035-02 | Surface-density-rescaled Nav diameter sweep on t0024 to test surface-vs-volume compensation | experiment | medium | active | `t0035_distal_dendrite_diameter_sweep_t0024` | 2026-04-23 |
| S-0035-03 | Extended distal-diameter sweep on t0024 (0.25x to 4.0x, 9 points) to probe non-linear extremes | experiment | medium | active | `t0035_distal_dendrite_diameter_sweep_t0024` | 2026-04-23 |
| S-0035-04 | Ih (HCN) conductance ablation sweep on t0024 distal dendrites to test h-current role in distal cable behaviour | experiment | medium | active | `t0035_distal_dendrite_diameter_sweep_t0024` | 2026-04-23 |
| S-0035-05 | Zero-cost meta-analysis of primary-DSI vs vector-sum-DSI discrepancy across t0029, t0030, t0034, t0035 | evaluation | medium | active | `t0035_distal_dendrite_diameter_sweep_t0024` | 2026-04-23 |
| S-0035-06 | Deprioritise distal-diameter parameters in the t0033 DSI optimiser search space | technique | medium | active | `t0035_distal_dendrite_diameter_sweep_t0024` | 2026-04-23 |
| S-0036-02 | GABA-to-AMPA timing offset sweep on t0022 diameter testbed to test timing-dominates-conductance hypothesis | experiment | medium | active | `t0036_rerun_t0030_halved_null_gaba` | 2026-04-23 |
| S-0036-03 | Distal voltage-trace capture at null direction on t0022 to confirm sub-threshold-clamp hypothesis | experiment | medium | active | `t0036_rerun_t0030_halved_null_gaba` | 2026-04-23 |
| S-0036-04 | Extract the t0022 GABA-override monkey-patch into a reusable library asset for downstream tasks | library | medium | active | `t0036_rerun_t0030_halved_null_gaba` | 2026-04-23 |
| S-0037-03 | Localise the GABA unpinning threshold with a fine sweep (5.0, 4.5, 4.0, 3.5, 3.0 nS) | experiment | medium | active | `t0037_null_gaba_reduction_ladder_t0022` | 2026-04-24 |
| S-0037-04 | Diagnose and fix the low peak firing rate in t0022 (15 Hz vs 40-80 Hz Schachter2010) | experiment | medium | active | `t0037_null_gaba_reduction_ladder_t0022` | 2026-04-24 |
| S-0037-05 | Cross-testbed DSI comparison: t0022 at 4 nS GABA vs t0024 AR(2) noise | experiment | medium | active | `t0037_null_gaba_reduction_ladder_t0022` | 2026-04-24 |
| S-0037-06 | Add preferred-direction GABA asymmetry to t0022 (cartwheel SAC offset) | technique | low | active | `t0037_null_gaba_reduction_ladder_t0022` | 2026-04-24 |
| S-0039-01 | Rerun t0039 7-diameter sweep on t0024 for active-vs-passive testbed comparison | experiment | medium | active | `t0039_distal_dendrite_diameter_sweep_t0022_gaba4` | 2026-04-24 |
| S-0039-02 | Fine-grained thin-end diameter sweep D in {0.3, 0.4, 0.5, 0.6, 0.7} at GABA=4 nS on t0022 | experiment | medium | active | `t0039_distal_dendrite_diameter_sweep_t0022_gaba4` | 2026-04-24 |
| S-0039-03 | Joint (GABA, diameter) sweep to separate passive filtering from GABA-suppressed active amplification | experiment | medium | active | `t0039_distal_dendrite_diameter_sweep_t0022_gaba4` | 2026-04-24 |
| S-0039-04 | Diagnose and fix t0022's 15 Hz peak-firing cap (inherited AMPA-only drive issue) | experiment | medium | active | `t0039_distal_dendrite_diameter_sweep_t0022_gaba4` | 2026-04-24 |
| S-0039-05 | Update t0033 optimiser headroom estimate to reflect narrow (0.06 DSI) morphology dynamic range on t0022 | technique | medium | active | `t0039_distal_dendrite_diameter_sweep_t0022_gaba4` | 2026-04-24 |
| S-0039-06 | Introduce per-trial spike-count distribution metric to distinguish failures from timing shifts | evaluation | low | active | `t0039_distal_dendrite_diameter_sweep_t0022_gaba4` | 2026-04-24 |
| S-0041-01 | Impedance-loading-corrected electrotonic-length collapse re-test | evaluation | medium | active | `t0041_electrotonic_length_collapse_t0034_t0035` | 2026-04-24 |
| S-0041-02 | Denser 2-D sweep of L x d to map DSI response surface on t0024 | experiment | medium | active | `t0041_electrotonic_length_collapse_t0034_t0035` | 2026-04-24 |
| S-0041-03 | Correct t0033 answer asset: confirm 2-D morphology parameterisation | evaluation | medium | active | `t0041_electrotonic_length_collapse_t0034_t0035` | 2026-04-24 |
| S-0041-04 | Per-section L/lambda rather than mean-based for collapse tests | technique | low | active | `t0041_electrotonic_length_collapse_t0034_t0035` | 2026-04-24 |
| S-0046-01 | Re-run t0046 figure sweeps at paper-N (12-19 trials per condition, full 8-direction sweep) | experiment | medium | active | `t0046_reproduce_poleg_polsky_2016_exact` | 2026-04-24 |
| S-0046-02 | Root-cause the 282-vs-177 synapse-count discrepancy in ModelDB 189347 vs Poleg-Polsky 2016 paper text | experiment | medium | active | `t0046_reproduce_poleg_polsky_2016_exact` | 2026-04-24 |
| S-0046-03 | Add an iMK801 analogue MOD modification (selective dendritic NMDAR block) to enable Fig 8 AP5 reproduction | library | medium | active | `t0046_reproduce_poleg_polsky_2016_exact` | 2026-04-24 |
| S-0046-04 | Decide the fate of t0042/t0043/t0044: rewrite motivation or cancel based on t0046 findings | evaluation | medium | active | `t0046_reproduce_poleg_polsky_2016_exact` | 2026-04-24 |
| S-0046-05 | Manually fetch and attach the Poleg-Polsky 2016 supplementary PDF (NIHMS766337, PMC4795984) | dataset | medium | active | `t0046_reproduce_poleg_polsky_2016_exact` | 2026-04-24 |
| S-0046-06 | Backport t0046's GUI-free `dsgc_model_exact.hoc` driver as a reusable library used by t0008/t0020/t0022 successors | library | low | active | `t0046_reproduce_poleg_polsky_2016_exact` | 2026-04-24 |
| S-0047-03 | Redefine the ROC AUC negative class (off-direction or jitter-isolated trials) so the metric does not saturate at 1.000 | evaluation | medium | active | `t0047_validate_pp16_fig3_cond_noise` | 2026-04-25 |
| S-0047-04 | Package per-synapse conductance recorder and qualitative-shape verdict helpers as a reusable library | library | low | active | `t0047_validate_pp16_fig3_cond_noise` | 2026-04-25 |
| S-0048-01 | GABA conductance scan at Voff_bipNMDA=1 to close the residual DSI gap to paper's 0.30 line | experiment | medium | active | `t0048_voff_nmda1_dsi_test` | 2026-04-25 |
| S-0048-02 | Adopt exptype=2 (Voff_bipNMDA=1) as the canonical DSGC control for downstream tasks via correction overlay | technique | medium | active | `t0048_voff_nmda1_dsi_test` | 2026-04-25 |
| S-0048-03 | AMPA conductance scan at Voff_bipNMDA=1 as a secondary check on the residual DSI gap | experiment | medium | active | `t0048_voff_nmda1_dsi_test` | 2026-04-25 |
| S-0048-04 | Higher-N (12-19 trials) rerun of t0048's Voff_bipNMDA=1 gNMDA sweep to tighten H2 verdict bands | experiment | medium | active | `t0048_voff_nmda1_dsi_test` | 2026-04-25 |
| S-0048-05 | Re-run t0047's noise (flickerVAR) sweep at Voff_bipNMDA=1 to test noise-DSI behavior under voltage-independent NMDA | experiment | low | active | `t0048_voff_nmda1_dsi_test` | 2026-04-25 |
